Person 1:
[[1183.68, 577.431], [1071.93, 556.884]],
[[1186.47, 580.344], [1074.77, 559.729]],
[[1186.67, 580.312], [1071.94, 571.455]],
[[1186.68, 577.466], [1063, 574.373]],
[[1171.92, 574.417], [1065.89, 574.327]],
[[1157.19, 568.482], [1065.85, 571.423]],
[[1136.55, 556.733], [1065.87, 568.556]],
[[1107.14, 553.888], [1062.96, 571.446]],
[[1074.88, 547.959], [1051.32, 574.36]],
[[1063.03, 536.203], [1048.21, 571.366]],
[[1048.27, 533.235], [1048.28, 574.258]],
[[1027.64, 521.475], [1048.3, 568.548]],
[[1021.68, 515.586], [1051.35, 571.423]],
[[1004.22, 515.628], [1051.2, 571.401]],
[[1001.2, 524.441], [1048.31, 559.772]],
[[998.353, 527.35], [1042.38, 553.804]],
[[998.194, 530.182], [1027.65, 550.921]],
[[1004.23, 527.308], [1004.27, 550.733]],
[[1007.1, 524.446], [998.26, 542.073]],
[[1010.06, 521.411], [977.546, 536.245]],
[[1021.87, 521.499], [951.17, 533.219]],
[[1039.45, 524.294], [930.614, 530.351]],
[[1045.46, 527.253], [918.79, 530.375]],
[[1045.38, 527.309], [910.03, 533.188]],
[[1045.44, 527.248], [907.155, 533.266]],
[[1045.3, 524.406], [907.142, 533.221]],
[[1042.35, 524.311], [907.164, 536.131]],
[[1024.91, 521.409], [907.127, 533.252]],
[[1004.09, 512.675], [907.153, 533.296]],
[[977.657, 509.783], [909.953, 533.257]],
[[954.015, 509.729], [907.104, 533.197]],
[[927.668, 506.651], [901.08, 530.291]],
[[901.161, 494.944], [889.342, 527.471]],
[[880.622, 492], [892.288, 530.272]],
[[856.992, 480.259], [898.2, 530.286]],
[[836.341, 477.343], [898.146, 530.352]],
[[812.981, 474.344], [898.179, 530.36]],
[[803.949, 477.245], [901.042, 530.169]],
[[786.307, 480.203], [889.398, 524.35]],
[[783.33, 483.161], [874.641, 524.294]],
[[780.501, 486.084], [854.023, 515.56]],
[[786.232, 486.166], [821.693, 506.823]],
[[786.397, 483.282], [795.229, 503.787]],
[[789.281, 480.369], [765.842, 483.271]],
[[789.204, 480.169], [739.146, 465.547]],
[[798.079, 480.15], [703.967, 450.828]],
[[806.865, 477.264], [680.365, 436.119]],
[[801.097, 477.295], [668.555, 433.1]],
[[806.885, 465.511], [648.053, 436.06]],
[[792.187, 459.616], [645.161, 447.872]],
[[786.365, 459.59], [639.175, 465.481]],
[[771.596, 459.537], [639.203, 477.184]],
[[762.901, 456.713], [639.198, 477.204]],
[[759.819, 459.747], [636.294, 477.243]],
[[742.283, 468.458], [639.12, 477.245]],
[[739.212, 480.248], [636.265, 477.353]],
[[730.385, 480.368], [636.281, 477.284]],
[[724.568, 483.191], [627.531, 480.145]],
[[730.422, 483.177], [642.023, 477.186]],
[[730.45, 480.322], [644.992, 471.41]],
[[733.348, 483.103], [656.842, 471.383]],
[[745.163, 483.178], [671.555, 480.166]],
[[771.607, 477.36], [692.052, 483.104]],
[[792.204, 477.309], [692.253, 486.247]],
[[812.764, 483.347], [694.996, 489.148]],
[[821.676, 491.979], [695.055, 489.027]],
[[830.419, 500.756], [695.037, 486.233]],
[[830.402, 500.894], [706.858, 497.949]],
[[827.577, 500.815], [718.55, 503.703]],
[[833.38, 494.977], [736.229, 503.718]],
[[833.393, 486.191], [739.344, 503.91]],
[[833.28, 480.32], [742.297, 506.797]],
[[818.73, 471.417], [762.793, 518.454]],
[[812.844, 468.483], [765.822, 524.415]],
[[809.837, 480.212], [765.832, 527.204]],
[[803.963, 506.707], [762.79, 527.236]],
[[789.222, 521.458], [762.7, 527.237]],
[[786.334, 521.4], [751.059, 527.397]],
[[756.864, 530.176], [774.596, 512.574]],
[[739.208, 542.015], [777.494, 509.758]],
[[727.438, 550.947], [771.687, 509.754]],
[[718.797, 556.773], [765.847, 515.612]],
[[715.805, 568.505], [765.797, 521.443]],
[[715.739, 568.485], [762.794, 524.411]],
[[715.695, 568.516], [762.842, 527.318]],
[[715.689, 568.562], [762.812, 527.371]],
[[715.708, 568.532], [765.654, 527.411]],
[[715.71, 568.537], [768.64, 530.204]],
[[715.735, 568.514], [765.827, 530.429]],
[[715.784, 568.503], [765.784, 530.344]],
[[718.589, 562.684], [762.774, 530.181]],
[[718.778, 565.563], [762.709, 530.36]],
[[736.237, 562.681], [759.805, 530.233]],
[[736.259, 559.774], [759.77, 530.213]],
[[736.285, 556.883], [742.139, 533.281]],
[[736.253, 556.818], [742.318, 539.11]],
[[736.269, 559.715], [751.069, 536.198]],
[[739.13, 556.771], [751.07, 536.177]],
[[745.173, 553.826], [739.258, 533.238]],
[[762.859, 550.964], [733.407, 547.875]],
[[768.731, 533.273], [730.413, 533.32]],
[[786.311, 530.451], [730.377, 533.235]],
[[901.062, 783.397], [0, 0]],
[[809.995, 533.308], [0, 0]],
[[812.758, 539.065], [748.12, 533.196]],
[[809.839, 539.159], [759.727, 530.213]],
[[812.734, 539.16], [759.777, 530.218]],
[[809.957, 542.016], [759.9, 527.463]],
[[812.76, 539.145], [762.918, 527.386]],
[[815.899, 542.054], [765.756, 524.461]],
[[833.444, 542.063], [759.866, 524.44]],
[[836.273, 544.958], [756.933, 527.298]],
[[836.298, 547.822], [756.953, 527.428]],
[[833.545, 547.829], [756.912, 527.434]],
[[836.263, 547.885], [748.065, 527.425]],
[[839.275, 533.344], [748.127, 530.244]],
[[859.817, 536.156], [748.169, 530.235]],
[[862.868, 530.36], [753.933, 530.194]],
[[877.578, 527.346], [759.841, 530.225]],
[[880.569, 521.481], [762.748, 527.376]],
[[883.373, 509.666], [768.744, 527.315]],
[[889.347, 509.645], [789.165, 530.257]],
[[901.082, 506.639], [801.035, 527.394]],
[[906.927, 503.836], [807.001, 530.18]],
[[910.051, 503.784], [809.816, 527.354]],
[[912.875, 503.872], [812.695, 527.361]],
[[915.877, 506.776], [812.932, 527.352]],
[[912.874, 506.904], [0, 0]],
[[915.872, 506.681], [0, 0]],
[[918.82, 506.765], [0, 0]],
[[921.677, 506.64], [830.545, 503.766]],
[[921.767, 503.758], [856.966, 497.918]],
[[924.589, 503.783], [880.524, 500.743]],
[[889.418, 480.208], [930.628, 506.825]],
[[924.68, 477.305], [936.512, 506.774]],
[[954.049, 483.113], [948.231, 497.861]],
[[962.972, 480.24], [971.719, 500.829]],
[[989.407, 480.314], [977.761, 503.655]],
[[1007.12, 465.591], [977.695, 503.636]],
[[1036.51, 456.763], [977.762, 500.761]],
[[1048.36, 447.891], [977.661, 500.743]],
[[1077.79, 459.745], [977.746, 497.866]],
[[1101.3, 456.792], [983.584, 491.997]],
[[1119.08, 459.55], [998.156, 492.059]],
[[1142.5, 462.551], [1004.22, 494.983]],
[[1157.18, 471.391], [1024.66, 497.955]],
[[1027.72, 483.262], [1166.14, 471.361]],
[[1162.95, 477.188], [1048.43, 494.942]],
[[1160.03, 474.406], [1068.77, 494.959]],
[[1160.11, 471.447], [1071.8, 494.991]],
[[1160.07, 471.4], [1071.89, 492.069]],
[[1160.04, 468.474], [1071.87, 489.097]],
[[1160.03, 471.446], [1071.94, 489.068]],
[[1160.09, 471.43], [1071.95, 486.22]],
[[1160.05, 474.314], [1071.83, 486.219]],
[[1157.17, 465.567], [1068.76, 486.231]],
[[1160.19, 465.492], [1057.1, 492.027]],
[[1151.33, 459.788], [1054.21, 497.902]],
[[1142.38, 459.626], [1054.25, 500.81]],
[[1127.73, 462.634], [1057.14, 503.633]],
[[1118.93, 474.316], [1054.19, 500.86]],
[[1112.96, 480.337], [1051.26, 492.033]],
[[1110.09, 483.312], [1045.29, 492.038]],
[[1107.13, 492.071], [1027.7, 497.855]],
[[1107.2, 495], [1012.98, 503.64]],
[[1115.83, 497.889], [998.368, 503.777]],
[[1116.01, 497.936], [989.472, 506.663]],
[[1115.9, 483.211], [989.386, 512.614]],
